"Site","X","Y","sector","Sediment1","Sediment2","AlgaeCover","Abratenn","Amphsqua","Anaimuco","Aphemari","Apselatr","Arenmari","Capicapi","Caulzetl","Ceraedul","Chaechri","Chironmd","Coroaren","Corovolu","Cyatcari","Desdorna","Elmimode","Eteolong","Hedidive","Hydrulva","Macobalt","Melipalm","Melipalm.1","Micrgrll","Micrmacu","Myaaren","Neanvire","Nephhomb","Notolate","Ostrsp","Polycorn","Pygoeleg","Retuobtu","Rudiphil","Scolarmi","Scroplan","Streshru","Tubibene","Tubipseu","Tubisp","Urotbrev"
70,401985,86995,"DP020",0,0,0,0,0,0,0,0,0,25,0,127,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
71,402007,90026,"DP004",0,0,35,0,1095,51,458,1350,0,127,535,76,25,0,0,0,25,0,1299,0,204,0,0,0,840,0,0,25,0,0,127,0,0,0,0,51,0,0,0,1019,5220,458,0
72,402499,85901,"DP021",0,0,10,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,25,102,0,0,0,0,0,127,0,51,0,25,0,0
73,402500,90500,"DP004",0,0,30,0,0,51,153,0,0,2470,127,0,0,0,0,0,25,0,0,0,229,0,0,0,0,0,0,0,25,0,229,0,0,0,0,0,0,0,0,0,0,4253,0
74,402988,85919,"DP020",1,1,10,0,0,0,2292,0,0,153,0,0,0,0,0,25,0,0,0,51,509,51,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,10160,407,0,0
75,403008,90506,"DP004",0,0,0,25,0,25,4176,0,0,0,0,51,1808,0,0,25,1120,25,0,0,2215,306,0,0,25,0,0,76,0,0,0,0,0,586,0,0,51,51,611,0,280,0,0
76,403370,86360,"DP020",0,0,1,0,0,0,25,0,76,0,0,25,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,25,0,0,76,153,0,0,0,0,25,25,535,0,0
77,403498,90021,"DP004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,25,25,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,51,25,1171,0,0
78,404505,87958,"DP001",0,0,1,0,0,25,0,0,127,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,25,51,0,0,0,0,0,1171,0,0,0,0,0,942
79,404650,88462,"DP001",0,0,0,0,0,178,0,0,0,0,0,51,0,0,0,0,0,0,0,25,306,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,1273,0,0,25,0,0,1859
80,404615,88966,"DP001",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,2165,204,0,25
