"","ID","Earnings"
"120",120,7.461
"121",121,6.681
"122",122,6.547
"123",123,7.521
"124",124,7.139
"125",125,7.367
"126",126,7.57
"127",127,6.921
"128",128,7.142
"129",129,7.404
"130",130,6.911
"131",131,6.843
"132",132,6.445
"133",133,6.915
"134",134,6.554
"135",135,7.016
"136",136,7.208
"137",137,7.047
"138",138,6.691
"139",139,6.632
"140",140,6.879
"141",141,6.991
"142",142,7.385
"143",143,7.363
"144",144,7.258
"145",145,7.182
"146",146,6.826
"147",147,6.366
"148",148,6.733
"149",149,6.425
"150",150,7.341
"151",151,7.244
"152",152,7.487
"153",153,7.039
"154",154,6.44
"155",155,6.768
"156",156,6.886
"157",157,7.19
"158",158,7.219
"159",159,7.406
"160",160,6.959
"161",161,7.376
"162",162,6.727
"163",163,6.907
"164",164,6.538
"165",165,6.451
"166",166,7.223
"167",167,7.395
"168",168,6.648
"169",169,6.386
"170",170,7.233
"171",171,7.035
"172",172,7.597
"173",173,7.193
"174",174,6.862
"175",175,7.357
"176",176,6.635
"177",177,6.607
"178",178,6.524
"179",179,7.409
"180",180,6.913
"181",181,6.556
"182",182,6.899
"183",183,6.589
"184",184,7.126
"185",185,6.358
"186",186,7.17
"187",187,6.858
"188",188,6.872
"189",189,7.017
"190",190,6.571
"191",191,6.501
"192",192,6.988
"193",193,6.639
"194",194,6.972
"195",195,7.022
"196",196,6.966
"197",197,7.212
"198",198,6.993
"199",199,7.568
"200",200,7.431
"201",201,6.459
"202",202,7.348
"203",203,6.545
"204",204,6.543
"205",205,7.166
"206",206,6.997
"207",207,7.524
"208",208,6.549
"209",209,6.849
"210",210,6.687
"211",211,6.399
"212",212,7.432
"213",213,7.204
"214",214,7.122
"215",215,6.436
"216",216,6.833
"217",217,7.396
"218",218,6.884
"219",219,7.3
"220",220,6.837
"221",221,6.995
"222",222,7.599
"223",223,6.674
"224",224,7.288
"225",225,7.116
"226",226,7.529
"227",227,7.299
"228",228,6.92
"229",229,7.079
"230",230,7.328
"231",231,6.771
"232",232,7.236
"233",233,6.407
"234",234,7.392
"235",235,7.025
"236",236,6.91
"237",237,7.303
"238",238,6.883
"239",239,6.644
"240",240,6.682
"241",241,7.344
"242",242,6.745
"243",243,6.738
"244",244,6.877
"245",245,7.329
"246",246,6.652
"247",247,6.895
"248",248,6.756
"249",249,6.49
"250",250,7.254
"251",251,6.998
"252",252,6.5
"253",253,6.963
"254",254,7.457
"255",255,7.164
"256",256,7.456
"257",257,6.4
"258",258,7.59
"259",259,7.023
"260",260,7.286
"261",261,6.947
"262",262,7.018
"263",263,7.481
"264",264,6.363
"265",265,6.576
"266",266,7.298
"267",267,7.125
"268",268,6.656
"269",269,7.528
"270",270,7.078
"271",271,7.519
"272",272,6.821
"273",273,6.961
"274",274,7.361
"275",275,6.382
"276",276,7.277
"277",277,7.345
"278",278,6.838
"279",279,7.019
"280",280,6.835
"281",281,6.935
"282",282,6.795
"283",283,7.477
"284",284,7.501
"285",285,6.641
"286",286,7.596
"287",287,7.23
"288",288,7.417
"289",289,7.14
"290",290,7.424
"291",291,7.311
"292",292,6.785
"293",293,7.36
"294",294,6.438
"295",295,6.923
"296",296,7.189
"297",297,7.443
"298",298,6.505
"299",299,7.216
"300",300,7.308
"301",301,6.604
"302",302,6.46
"303",303,7.607
"304",304,7.312
"305",305,7.498
"306",306,6.919
"307",307,7.144
"308",308,7.552
"309",309,7.12
"310",310,6.938
"311",311,6.587
"312",312,7.54
"313",313,7.083
"314",314,6.992
"315",315,7.297
"316",316,6.523
"317",317,6.783
"318",318,7.472
"319",319,6.668
"320",320,6.463
"321",321,6.544
"322",322,6.709
"323",323,7.332
"324",324,6.43
"325",325,6.806
"326",326,7.056
"327",327,6.716
"328",328,6.552
"329",329,6.816
"330",330,6.449
"331",331,6.949
"332",332,6.555
"333",333,7.403
"334",334,6.643
"335",335,6.852
"336",336,7.491
"337",337,6.845
"338",338,7.356
"339",339,6.613
"340",340,7.077
"341",341,6.634
"342",342,6.769
"343",343,7.362
"344",344,7.235
"345",345,7.232
"346",346,6.611
"347",347,7.293
"348",348,7.234
"349",349,7.316
"350",350,6.588
"351",351,7.378
"352",352,6.76
"353",353,7.544
"354",354,6.794
"355",355,6.454
"356",356,6.772
"357",357,6.393
"358",358,7.109
"359",359,7.033
"360",360,6.67
"361",361,6.569
"362",362,7.445
"363",363,7.1
"364",364,7.336
"365",365,6.485
"366",366,6.744
"367",367,6.83
"368",368,7.173
"369",369,7.49
"370",370,6.932
"371",371,7.26
"372",372,7.313
"373",373,6.443
"374",374,7.121
"375",375,7.22
"376",376,7.484
"377",377,6.787
"378",378,7.394
"379",379,6.753
"380",380,6.93
"381",381,6.473
"382",382,7.448
"383",383,6.468
"384",384,6.94
"385",385,7.279
"386",386,7.256
"387",387,7.185
"388",388,7.106
"389",389,6.593
"390",390,6.414
"391",391,7.169
"392",392,6.804
"393",393,6.982
"394",394,6.437
"395",395,7.314
"396",396,7.505
"397",397,7.405
"398",398,6.491
"399",399,7.296
"400",400,7.353
"401",401,6.551
"402",402,7.259
"403",403,7.129
"404",404,7.322
"405",405,6.914
"406",406,7.206
"407",407,6.881
"408",408,6.411
"409",409,6.859
"410",410,7.6
"411",411,7.27
"412",412,7.309
"413",413,6.664
"414",414,6.931
"415",415,7.33
"416",416,7.451
"417",417,6.964
"418",418,6.575
"419",419,6.679
"420",420,7.502
"421",421,7.4
"422",422,6.622
"423",423,6.542
"424",424,6.388
"425",425,6.955
"426",426,6.512
"427",427,6.387
"428",428,6.567
"429",429,6.519
"430",430,6.974
"431",431,7.262
"432",432,6.446
"433",433,7.02
"434",434,7.162
"435",435,6.518
"436",436,6.933
"437",437,6.361
"438",438,7.114
"439",439,6.796
"440",440,6.537
"441",441,6.688
"442",442,7.301
"443",443,7.141
"444",444,7.317
"445",445,6.758
"446",446,7.413
"447",447,6.633
"448",448,7.364
"449",449,6.662
"450",450,6.391
"451",451,7.196
"452",452,6.557
"453",453,6.401
"454",454,7.302
"455",455,6.829
"456",456,6.376
"457",457,7.335
"458",458,6.495
"459",459,6.731
"460",460,7.463
"461",461,7.131
"462",462,7.16
"463",463,7.449
"464",464,7.38
"465",465,6.704
"466",466,6.88
"467",467,7.042
"468",468,6.762
"469",469,6.969
"470",470,7.548
"471",471,6.649
"472",472,7.073
"473",473,6.48
"474",474,7.321
"475",475,6.484
"476",476,7.06
"477",477,6.807
"478",478,6.941
"479",479,6.565
"480",480,6.479
"481",481,6.702
"482",482,7.247
"483",483,6.351
"484",484,6.356
"485",485,6.987
"486",486,6.765
"487",487,6.962
"488",488,6.867
"489",489,7.601
"490",490,7.275
"491",491,7.339
"492",492,6.939
"493",493,7.365
"494",494,7.556
"495",495,7.511
"496",496,7.115
"497",497,6.898
"498",498,7.187
"499",499,7.407
"500",500,6.442
"501",501,6.874
"502",502,6.89
"503",503,6.566
"504",504,7.26
"505",505,7.077
"506",506,6.392
"507",507,7.434
"508",508,6.813
"509",509,6.412
"510",510,7.567
"511",511,6.613
"512",512,6.524
"513",513,6.533
"514",514,7.268
"515",515,7.183
"516",516,6.495
"517",517,7.375
"518",518,7.56
"519",519,6.943
"520",520,6.906
"521",521,6.505
"522",522,7.193
"523",523,7.153
"524",524,7.2
"525",525,7.519
"526",526,6.818
"527",527,6.62
"528",528,6.84
"529",529,6.544
"530",530,6.36
"531",531,6.557
"532",532,7.509
"533",533,7.312
"534",534,6.772
"535",535,7.459
"536",536,7.234
"537",537,7.019
"538",538,6.902
"539",539,6.4
"540",540,6.574
"541",541,7.384
"542",542,7.348
"543",543,6.696
"544",544,7.353
"545",545,6.498
"546",546,6.445
"547",547,7.436
"548",548,6.984
"549",549,6.725
"550",550,7.214
"551",551,6.612
"552",552,6.726
"553",553,7.309
"554",554,6.645
"555",555,6.663
"556",556,6.98
"557",557,6.434
"558",558,7.322
"559",559,6.39
"560",560,7.311
"561",561,6.446
"562",562,7.605
"563",563,6.769
"564",564,7.044
"565",565,7.213
"566",566,7.032
"567",567,7.55
"568",568,6.773
"569",569,6.817
"570",570,7.374
"571",571,6.617
"572",572,7.499
"573",573,6.734
"574",574,6.462
"575",575,7.595
"576",576,6.453
"577",577,7.43
"578",578,7.097
"579",579,6.425
"580",580,6.778
"581",581,6.573
"582",582,7.5
"583",583,6.607
"584",584,7.344
"585",585,7.584
"586",586,6.937
"587",587,6.878
"588",588,6.549
"589",589,6.375
"590",590,7.586
"591",591,6.356
"592",592,6.565
"593",593,6.527
"594",594,7.462
"595",595,6.949
"596",596,7.186
"597",597,7.15
"598",598,7.574
"599",599,6.783
"600",600,7.604
"601",601,6.698
"602",602,7.092
"603",603,7.27
"604",604,6.959
"605",605,6.951
"606",606,6.669
"607",607,7.362
"608",608,7.005
"609",609,7.334
"610",610,7.068
"611",611,6.562
"612",612,7.209
"613",613,6.47
"614",614,7.051
"615",615,6.749
"616",616,6.972
"617",617,7.08
"618",618,6.624
"619",619,7.338
"620",620,6.638
"621",621,6.529
"622",622,7.027
"623",623,7.076
"624",624,7.476
"625",625,6.405
"626",626,7.046
"627",627,6.716
"628",628,6.762
"629",629,6.419
"630",630,7.106
"631",631,7.456
"632",632,6.476
"633",633,7.315
"634",634,7.355
"635",635,6.742
"636",636,6.477
"637",637,7.523
"638",638,6.975
"639",639,6.635
"640",640,6.587
"641",641,6.501
"642",642,6.735
"643",643,6.751
"644",644,6.786
"645",645,7.588
"646",646,7.094
"647",647,6.901
"648",648,7.204
"649",649,6.888
"650",650,6.393
"651",651,6.728
"652",652,7.023
"653",653,6.509
"654",654,6.437
"655",655,6.472
"656",656,6.368
"657",657,7.061
"658",658,7.301
"659",659,6.82
"660",660,7.304
"661",661,6.837
"662",662,6.623
"663",663,7.126
"664",664,7.225
"665",665,6.985
"666",666,6.377
"667",667,6.652
"668",668,6.777
"669",669,7.474
"670",670,6.644
"671",671,7.05
"672",672,7.306
"673",673,6.768
"674",674,6.79
"675",675,7.037
"676",676,7.573
"677",677,6.977
"678",678,7.02
"679",679,7.6
"680",680,7.442
"681",681,6.904
"682",682,7.201
"683",683,7.206
"684",684,6.923
"685",685,6.422
"686",686,6.858
"687",687,7.559
"688",688,7.592
"689",689,6.625
"690",690,6.657
"691",691,7.441
"692",692,6.973
"693",693,7.122
"694",694,6.359
"695",695,6.947
"696",696,6.77
"697",697,6.857
"698",698,7.366
"699",699,6.598
"700",700,7.142
"701",701,7.411
"702",702,6.603
"703",703,6.851
"704",704,7.517
"705",705,7.532
"706",706,7.491
"707",707,6.801
"708",708,7.17
"709",709,7.1
"710",710,6.953
"711",711,7.363
"712",712,7.253
"713",713,6.41
"714",714,7.31
"715",715,7.404
"716",716,7.157
"717",717,7.603
"718",718,6.935
"719",719,6.591
"720",720,6.76
"721",721,7.358
"722",722,6.536
"723",723,6.898
"724",724,7.296
"725",725,7.37
"726",726,6.891
"727",727,6.579
"728",728,6.72
"729",729,7.276
"730",730,7.534
"731",731,6.355
"732",732,6.427
"733",733,7.132
"734",734,7.181
"735",735,7.093
"736",736,7.065
"737",737,6.561
"738",738,6.912
"739",739,7.159
"740",740,6.373
"741",741,7.58
"742",742,6.582
"743",743,7.463
"744",744,7.233
"745",745,7.533
"746",746,6.753
"747",747,7.167
"748",748,6.731
"749",749,7.406
"750",750,7.591
"751",751,6.963
"752",752,6.65
"753",753,6.401
"754",754,6.733
"755",755,7.01
"756",756,6.814
"757",757,7.524
"758",758,7.354
"759",759,6.981
"760",760,6.853
"761",761,7.222
"762",762,6.353
"763",763,7.081
"764",764,7.16
"765",765,6.451
"766",766,7.447
"767",767,6.473
"768",768,7.264
"769",769,7.042
"770",770,6.86
"771",771,6.746
"772",772,7.555
"773",773,6.576
"774",774,6.899
"775",775,6.727
"776",776,7.208
"777",777,7.293
"778",778,7.367
"779",779,6.502
"780",780,7.135
"781",781,7.282
"782",782,6.407
"783",783,7.278
"784",784,6.866
"785",785,7.008
"786",786,6.809
"787",787,6.616
"788",788,7.071
"789",789,7.149
"790",790,7.249
"791",791,6.926
"792",792,6.404
"793",793,6.455
"794",794,6.49
"795",795,7.396
"796",796,6.706
"797",797,7.458
"798",798,6.61
"799",799,7.382
"800",800,6.568
"801",801,6.895
"802",802,7.408
"803",803,6.829
"804",804,7.13
"805",805,6.713
"806",806,7.305
"807",807,6.52
"808",808,6.526
"809",809,6.661
"810",810,6.736
"811",811,6.642
"812",812,6.361
"813",813,7.457
"814",814,7.425
"815",815,7.024
"816",816,6.756
"817",817,6.441
"818",818,6.881
"819",819,6.433
"820",820,6.796
"821",821,7.504
"822",822,6.489
"823",823,6.537
"824",824,6.884
"825",825,6.643
"826",826,6.605
"827",827,7.553
"828",828,7.099
"829",829,7.045
"830",830,7.36
"831",831,6.571
"832",832,7.241
"833",833,7.321
"834",834,7.475
"835",835,6.572
"836",836,7.047
"837",837,7.026
"838",838,6.428
"839",839,7.469
"840",840,7.119
"841",841,7.52
"842",842,6.869
"843",843,6.388
"844",844,6.718
"845",845,6.928
"846",846,7.376
"847",847,7.269
"848",848,7.481
"849",849,6.656
"850",850,7.488
"851",851,7.426
"852",852,6.371
"853",853,7.056
"854",854,6.712
"855",855,6.794
"856",856,7.314
"857",857,7.271
"858",858,7.064
"859",859,6.791
"860",860,6.482
"861",861,6.601
"862",862,7.364
"863",863,6.469
"864",864,7.148
"865",865,6.66
"866",866,6.988
"867",867,7.479
"868",868,7.416
"869",869,7.292
"870",870,6.865
"871",871,6.486
"872",872,6.397
"873",873,7.258
"874",874,6.532
"875",875,7.505
"876",876,6.806
"877",877,6.695
"878",878,6.522
"879",879,6.807
"880",880,7.162
"881",881,7.202
"882",882,7.108
"883",883,6.64
"884",884,7.572
"885",885,7.255
"886",886,7.087
"887",887,7.001
"888",888,6.879
"889",889,7.373
"890",890,6.559
"891",891,7.003
"892",892,6.75
"893",893,6.364
"894",894,7.19
"895",895,6.741
"896",896,6.785
"897",897,7.256
"898",898,6.969
"899",899,6.381
"900",900,7.246
"901",901,7.125
"902",902,7.133
"903",903,6.945
"904",904,6.358
"905",905,6.946
"906",906,7.03
"907",907,6.48
"908",908,7.328
"909",909,6.431
"910",910,6.662
"911",911,7.379
"912",912,6.648
"913",913,7.036
"914",914,6.59
"915",915,6.408
"916",916,7.21
"917",917,6.464
"918",918,7.526
"919",919,6.668
"920",920,7.294
"921",921,7.598
"922",922,6.7
"923",923,6.67
"924",924,6.606
"925",925,7.405
"926",926,6.621
"927",927,6.585
"928",928,6.618
"929",929,7.357
"930",930,6.478
"931",931,6.689
"932",932,6.547
"933",933,7.4
"934",934,6.651
"935",935,7.466
"936",936,7.066
"937",937,7.437
"938",938,6.792
"939",939,6.738
"940",940,7.063
"941",941,7.053
"942",942,6.987
"943",943,7.105
"944",944,7.516
"945",945,6.389
"946",946,6.836
"947",947,7.12
"948",948,6.957
"949",949,6.821
"950",950,7.23
"951",951,7.331
"952",952,6.916
"953",953,6.631
"954",954,7.327
"955",955,6.449
"956",956,6.471
"957",957,6.545
"958",958,7.247
"959",959,7.279
"960",960,6.709
"961",961,7.088
"962",962,6.513
"963",963,7.581
"964",964,6.913
"965",965,6.614
"966",966,6.908
"967",967,6.675
"968",968,7.478
"969",969,6.366
"970",970,7.316
"971",971,6.921
"972",972,6.564
"973",973,7.284
"974",974,6.488
"975",975,7.368
"976",976,6.632
"977",977,7.025
"978",978,7.152
"979",979,6.639
"980",980,7.33
"981",981,7.317
"982",982,7.238
"983",983,7.244
"984",984,6.917
"985",985,7.158
"986",986,7.147
"987",987,7.188
"988",988,7.261
"989",989,7.272
"990",990,7.47
"991",991,7.496
"992",992,6.57
"993",993,7.577
"994",994,7.529
"995",995,7.324
"996",996,7.007
"997",997,7.104
"998",998,6.609
"999",999,7.569
"1000",1000,7.391
"1001",1001,8.274
"1002",1002,8.512
"1003",1003,8.167
"1004",1004,10.632
"1005",1005,10.715
"1006",1006,8.311
"1007",1007,8.874
"1008",1008,9.013
"1009",1009,10.31
"1010",1010,8.3
"1011",1011,9.391
"1012",1012,9.458
"1013",1013,10.236
"1014",1014,8.029
"1015",1015,10.309
"1016",1016,9.874
"1017",1017,8.916
"1018",1018,8.189
"1019",1019,8.282
"1020",1020,9.726
"1021",1021,7.981
"1022",1022,10.717
"1023",1023,9.83
"1024",1024,8.505
"1025",1025,8.665
"1026",1026,10.512
"1027",1027,8.236
"1028",1028,9.964
"1029",1029,7.627
"1030",1030,9.53
"1031",1031,9.246
"1032",1032,8.045
"1033",1033,10.469
"1034",1034,8.733
"1035",1035,7.776
"1036",1036,9.392
"1037",1037,9.587
"1038",1038,9.991
"1039",1039,10.45
"1040",1040,10.453
"1041",1041,8.338
"1042",1042,10.786
"1043",1043,10.616
"1044",1044,10.438
"1045",1045,8.713
"1046",1046,8.244
"1047",1047,10.356
"1048",1048,10.133
"1049",1049,10.65
"1050",1050,10.377
"1051",1051,10.099
"1052",1052,8.387
"1053",1053,9.357
"1054",1054,9.307
"1055",1055,7.899
"1056",1056,10.526
"1057",1057,8.611
"1058",1058,7.614
"1059",1059,9.308
"1060",1060,10.532
"1061",1061,9.316
"1062",1062,8.416
"1063",1063,10.203
"1064",1064,7.937
"1065",1065,10.048
"1066",1066,9.691
"1067",1067,8.242
"1068",1068,9.873
"1069",1069,10.504
"1070",1070,7.654
"1071",1071,10.1
"1072",1072,10.151
"1073",1073,10.102
"1074",1074,9.567
"1075",1075,9.949
"1076",1076,9.025
"1077",1077,8.773
"1078",1078,9.851
"1079",1079,9.242
"1080",1080,8.915
"1081",1081,8.004
"1082",1082,7.945
"1083",1083,10.493
"1084",1084,8.519
"1085",1085,9.955
"1086",1086,7.929
"1087",1087,9.395
"1088",1088,10.505
"1089",1089,9.004
"1090",1090,8.699
"1091",1091,10.77
"1092",1092,8.518
"1093",1093,10.51
"1094",1094,10.292
"1095",1095,10.206
"1096",1096,9.786
"1097",1097,10.485
"1098",1098,9.937
"1099",1099,8.571
"1100",1100,9.244
"1101",1101,8.876
"1102",1102,8.623
"1103",1103,9.467
"1104",1104,9.89
"1105",1105,9.67
"1106",1106,9.452
"1107",1107,8.062
"1108",1108,7.897
"1109",1109,8.705
"1110",1110,8.087
"1111",1111,8.367
"1112",1112,8.99
"1113",1113,9.092
"1114",1114,10.716
"1115",1115,8.81
"1116",1116,7.683
"1117",1117,9.035
"1118",1118,8.121
"1119",1119,10.661
"1120",1120,8.91
"1121",1121,10.269
"1122",1122,7.823
"1123",1123,10.274
"1124",1124,9.342
"1125",1125,10.254
"1126",1126,10.484
"1127",1127,9.148
"1128",1128,10.686
"1129",1129,10.273
"1130",1130,10.425
"1131",1131,7.675
"1132",1132,8.485
"1133",1133,8.863
"1134",1134,10.773
"1135",1135,9.43
"1136",1136,10.673
"1137",1137,7.656
"1138",1138,7.819
"1139",1139,9.842
"1140",1140,8.5
"1141",1141,8.515
"1142",1142,9.059
"1143",1143,9.091
"1144",1144,8.163
"1145",1145,10.603
"1146",1146,8.033
"1147",1147,8.587
"1148",1148,9.834
"1149",1149,7.978
"1150",1150,8.457
"1151",1151,10.53
"1152",1152,7.67
"1153",1153,9.852
"1154",1154,8.15
"1155",1155,8.368
"1156",1156,9.64
"1157",1157,9.209
"1158",1158,7.832
"1159",1159,10.395
"1160",1160,8.684
"1161",1161,8.231
"1162",1162,10.147
"1163",1163,7.773
"1164",1164,9.119
"1165",1165,7.729
"1166",1166,8.609
"1167",1167,9.6
"1168",1168,9.166
"1169",1169,10.471
"1170",1170,9.907
"1171",1171,9.777
"1172",1172,8.425
"1173",1173,8.218
"1174",1174,8.906
"1175",1175,8.376
"1176",1176,9.757
"1177",1177,9.886
"1178",1178,10.276
"1179",1179,8.491
"1180",1180,7.903
"1181",1181,9.011
"1182",1182,10.352
"1183",1183,10.056
"1184",1184,8.234
"1185",1185,8.157
"1186",1186,8.078
"1187",1187,9.565
"1188",1188,10.178
"1189",1189,9.19
"1190",1190,8.019
"1191",1191,8.295
"1192",1192,7.984
"1193",1193,9.835
"1194",1194,10.37
"1195",1195,9.126
"1196",1196,7.79
"1197",1197,9.18
"1198",1198,10.587
"1199",1199,7.954
"1200",1200,9.665
"1201",1201,10.771
"1202",1202,10.087
"1203",1203,8.541
"1204",1204,8.531
"1205",1205,9.085
"1206",1206,8.504
"1207",1207,9.827
"1208",1208,9.828
"1209",1209,8.49
"1210",1210,10.41
"1211",1211,10.52
"1212",1212,8.256
"1213",1213,9.325
"1214",1214,8.047
"1215",1215,8.175
"1216",1216,8.015
"1217",1217,8.781
"1218",1218,9.93
"1219",1219,8.407
"1220",1220,8.426
"1221",1221,7.94
"1222",1222,9.171
"1223",1223,9.919
"1224",1224,8.837
"1225",1225,8.559
"1226",1226,9.2
"1227",1227,9.415
"1228",1228,10.191
"1229",1229,10.697
"1230",1230,10.013
"1231",1231,7.835
"1232",1232,10.379
"1233",1233,9.027
"1234",1234,10.008
"1235",1235,8.795
"1236",1236,9.375
"1237",1237,8.898
"1238",1238,9.018
"1239",1239,10.533
"1240",1240,9.226
"1241",1241,10.545
"1242",1242,10.284
"1243",1243,9.894
"1244",1244,10.793
"1245",1245,10.217
"1246",1246,7.993
"1247",1247,8.469
"1248",1248,9.538
"1249",1249,9.482
"1250",1250,10.302
"1251",1251,10.795
"1252",1252,10.64
"1253",1253,7.88
"1254",1254,8.467
"1255",1255,9.863
"1256",1256,9.909
"1257",1257,9.136
"1258",1258,8.373
"1259",1259,7.951
"1260",1260,7.972
"1261",1261,8.66
"1262",1262,7.692
"1263",1263,8.726
"1264",1264,8.568
"1265",1265,10.001
"1266",1266,7.879
"1267",1267,7.886
"1268",1268,9.729
"1269",1269,10.393
"1270",1270,8.224
"1271",1271,10.177
"1272",1272,8.583
"1273",1273,9.348
"1274",1274,9.06
"1275",1275,8.731
"1276",1276,10.104
"1277",1277,10.781
"1278",1278,10.137
"1279",1279,8.322
"1280",1280,8.086
"1281",1281,9.547
"1282",1282,9.086
"1283",1283,10.618
"1284",1284,9.88
"1285",1285,10.122
"1286",1286,10.727
"1287",1287,10.319
"1288",1288,10.318
"1289",1289,10.454
"1290",1290,8.369
"1291",1291,9.819
"1292",1292,7.618
"1293",1293,8.896
"1294",1294,10.329
"1295",1295,7.876
"1296",1296,9.006
"1297",1297,7.976
"1298",1298,10.606
"1299",1299,8.221
"1300",1300,8.678
"1301",1301,8.144
"1302",1302,8.149
"1303",1303,10.362
"1304",1304,10.722
"1305",1305,10.337
"1306",1306,7.791
"1307",1307,9.892
"1308",1308,9.138
"1309",1309,8.243
"1310",1310,8.514
"1311",1311,8.492
"1312",1312,10.764
"1313",1313,8.592
"1314",1314,7.613
"1315",1315,8.931
"1316",1316,8.861
"1317",1317,9.84
"1318",1318,9.479
"1319",1319,7.735
"1320",1320,8.423
"1321",1321,9.59
"1322",1322,9.797
"1323",1323,7.821
"1324",1324,9.533
"1325",1325,8.995
"1326",1326,9.794
"1327",1327,10.531
"1328",1328,9.575
"1329",1329,9.104
"1330",1330,7.961
"1331",1331,7.748
"1332",1332,9.683
"1333",1333,9.574
"1334",1334,9.881
"1335",1335,9.236
"1336",1336,10.59
"1337",1337,9.845
"1338",1338,7.794
"1339",1339,10.644
"1340",1340,9.679
"1341",1341,9.124
"1342",1342,8.821
"1343",1343,9.207
"1344",1344,9.568
"1345",1345,9.292
"1346",1346,8.844
"1347",1347,9.353
"1348",1348,8.039
"1349",1349,10.004
"1350",1350,8.746
"1351",1351,8.807
"1352",1352,9.602
"1353",1353,9.01
"1354",1354,8.44
"1355",1355,10.626
"1356",1356,10.728
"1357",1357,10.095
"1358",1358,9.026
"1359",1359,7.756
"1360",1360,8.913
"1361",1361,10.313
"1362",1362,10.306
"1363",1363,10.066
"1364",1364,10.243
"1365",1365,9.562
"1366",1366,9.36
"1367",1367,9.416
"1368",1368,8.905
"1369",1369,9.966
"1370",1370,9.66
"1371",1371,10.788
"1372",1372,8.225
"1373",1373,8.667
"1374",1374,8.293
"1375",1375,10.159
"1376",1376,7.749
"1377",1377,10.55
"1378",1378,10.238
"1379",1379,10.414
"1380",1380,8.775
"1381",1381,8.985
"1382",1382,8.524
"1383",1383,7.95
"1384",1384,8.382
"1385",1385,7.702
"1386",1386,9.942
"1387",1387,7.833
"1388",1388,8.727
"1389",1389,10.694
"1390",1390,10.69
"1391",1391,7.744
"1392",1392,7.885
"1393",1393,8.978
"1394",1394,7.957
"1395",1395,9.577
"1396",1396,8.153
"1397",1397,9.029
"1398",1398,7.87
"1399",1399,9.694
"1400",1400,10.495
"1401",1401,8.884
"1402",1402,9.976
"1403",1403,7.76
"1404",1404,9.599
"1405",1405,8.935
"1406",1406,8.452
"1407",1407,10.748
"1408",1408,8.109
"1409",1409,9.235
"1410",1410,10.462
"1411",1411,9.805
"1412",1412,7.724
"1413",1413,9.485
"1414",1414,9.965
"1415",1415,7.968
"1416",1416,8.19
"1417",1417,8.237
"1418",1418,8.969
"1419",1419,10.487
"1420",1420,8.535
"1421",1421,7.864
"1422",1422,9.686
"1423",1423,9.858
"1424",1424,9.815
"1425",1425,8.67
"1426",1426,10.544
"1427",1427,9.121
"1428",1428,9.08
"1429",1429,10.481
"1430",1430,10.783
"1431",1431,7.875
"1432",1432,7.665
"1433",1433,9.614
"1434",1434,9.501
"1435",1435,10.381
"1436",1436,8.308
"1437",1437,9.003
"1438",1438,9.712
"1439",1439,8.129
"1440",1440,8.417
"1441",1441,9.523
"1442",1442,10.307
"1443",1443,7.759
"1444",1444,9.791
"1445",1445,8.856
"1446",1446,10.551
"1447",1447,8.862
"1448",1448,7.73
"1449",1449,8.066
"1450",1450,9.897
"1451",1451,8.318
"1452",1452,9.931
