"","Species","Site","Abun"
"123","Aphelochaeta marioni",58,1
"124","Aphelochaeta marioni",59,6
"125","Aphelochaeta marioni",60,1
"126","Aphelochaeta marioni",61,35
"127","Aphelochaeta marioni",64,3
"128","Aphelochaeta marioni",65,8
"129","Aphelochaeta marioni",67,1
"130","Aphelochaeta marioni",69,0
"131","Aphelochaeta marioni",70,0
"132","Aphelochaeta marioni",71,18
"133","Aphelochaeta marioni",73,6
"134","Aphelochaeta marioni",74,90
"135","Aphelochaeta marioni",75,164
"136","Aphelochaeta marioni",76,1
"137","Apseudes latreillii",22,1
"138","Apseudes latreillii",69,0
"139","Apseudes latreillii",70,0
"140","Apseudes latreillii",71,53
"141","Arenicola marina",14,45
"142","Arenicola marina",40,1
"143","Arenicola marina",69,0
"144","Arenicola marina",70,0
"145","Arenicola marina",76,3
"146","Arenicola marina",78,5
"147","Bathyporeia indet.",69,0
"148","Bathyporeia indet.",70,0
"149","Bathyporeia indet.",79,3
"150","Bathyporeia indet.",80,1
"151","Bryozoa indef.",17,1
"152","Bryozoa indef.",69,0
"153","Bryozoa indef.",70,0
"154","Bryozoa indef.",71,3
"155","Capitella capitata",31,5
"156","Capitella capitata",34,1
"157","Capitella capitata",37,1
"158","Capitella capitata",39,2
"159","Capitella capitata",40,1
"160","Capitella capitata",41,2
"161","Capitella capitata",42,28
"162","Capitella capitata",49,4
"163","Capitella capitata",51,213
"164","Capitella capitata",56,3
"165","Capitella capitata",57,7
"166","Capitella capitata",64,1
"167","Capitella capitata",65,12
"168","Capitella capitata",66,20
"169","Capitella capitata",69,0
"170","Capitella capitata",70,1
"171","Capitella capitata",71,5
"172","Capitella capitata",73,97
"173","Capitella capitata",74,6
"174","Carcinus maenas",15,1
"175","Carcinus maenas",17,1
"176","Carcinus maenas",46,1
"177","Carcinus maenas",48,1
"178","Carcinus maenas",69,0
"179","Carcinus maenas",70,0
"180","Carcinus maenas",74,1
"181","Caulleriella zetlandica",33,3
"182","Caulleriella zetlandica",69,0
"183","Caulleriella zetlandica",70,0
"184","Caulleriella zetlandica",71,21
"185","Caulleriella zetlandica",73,5
"186","Cerastoderma edule",6,2
"187","Cerastoderma edule",7,1
"188","Cerastoderma edule",10,2
"189","Cerastoderma edule",11,1
"190","Cerastoderma edule",13,1
"191","Cerastoderma edule",14,2
"192","Cerastoderma edule",17,2
"193","Cerastoderma edule",18,1
"194","Cerastoderma edule",19,1
"195","Cerastoderma edule",22,1
"196","Cerastoderma edule",24,2
"197","Cerastoderma edule",25,5
"198","Cerastoderma edule",26,1
"199","Cerastoderma edule",32,3
"200","Cerastoderma edule",35,2
"201","Cerastoderma edule",36,1
"202","Cerastoderma edule",38,2
"203","Cerastoderma edule",39,3
"204","Cerastoderma edule",40,3
"205","Cerastoderma edule",41,1
"206","Cerastoderma edule",42,3
"207","Cerastoderma edule",43,2
"208","Cerastoderma edule",44,1
"209","Cerastoderma edule",45,1
"210","Cerastoderma edule",47,3
"211","Cerastoderma edule",48,1
"212","Cerastoderma edule",55,3
"213","Cerastoderma edule",56,2
"214","Cerastoderma edule",60,1
"215","Cerastoderma edule",63,1
"216","Cerastoderma edule",66,5
"217","Cerastoderma edule",69,0
"218","Cerastoderma edule",70,5
"219","Cerastoderma edule",71,3
"220","Cerastoderma edule",72,1
"221","Cerastoderma edule",75,2
"222","Cerastoderma edule",76,1
"223","Cerastoderma edule",79,2
"224","Cerastoderma glaucum",11,1
"225","Cerastoderma glaucum",15,2
"226","Cerastoderma glaucum",18,5
"227","Cerastoderma glaucum",31,2
"228","Cerastoderma glaucum",41,1
"229","Cerastoderma glaucum",43,3
"230","Cerastoderma glaucum",46,1
"231","Cerastoderma glaucum",47,1
"232","Cerastoderma glaucum",58,2
"233","Cerastoderma glaucum",61,1
"234","Cerastoderma glaucum",69,0
"235","Cerastoderma glaucum",70,0
"236","Cereus pedunculatus",69,0
"237","Cereus pedunculatus",70,0
"238","Chaetozone christii",45,1
"239","Chaetozone christii",69,0
"240","Chaetozone christii",70,0
"241","Chaetozone christii",71,1
"242","Chaetozone christii",75,71
"243","Chironomidae",42,35
"244","Chironomidae",51,19
"245","Chironomidae",61,3
"246","Chironomidae",66,141
"247","Chironomidae",69,0
"248","Chironomidae",70,0
"249","Cirratulidae (indet.)",11,1
"250","Cirratulidae (indet.)",35,2
"251","Cirratulidae (indet.)",39,9
"252","Cirratulidae (indet.)",46,1
"253","Cirratulidae (indet.)",69,0
"254","Cirratulidae (indet.)",70,0
"255","Cirriformia tentaculata",69,0
"256","Cirriformia tentaculata",70,0
"257","Cirriformia tentaculata",71,1
"258","Cirriformia tentaculata",73,4
"259","Copepoda: Harpacticoida",17,1
"260","Copepoda: Harpacticoida",52,1
"261","Copepoda: Harpacticoida",65,1
"262","Copepoda: Harpacticoida",69,0
"263","Copepoda: Harpacticoida",70,0
"264","Copepoda: Harpacticoida",73,1
"265","Copepoda: Harpacticoida",80,1
"266","Corophium arenarium",4,34
"267","Corophium arenarium",10,1
"268","Corophium arenarium",69,0
"269","Corophium arenarium",70,0
"270","Corophium insidiosum",69,0
"271","Corophium insidiosum",70,0
"272","Corophium volutator",1,2
"273","Corophium volutator",2,1
"274","Corophium volutator",4,300
"275","Corophium volutator",5,2
"276","Corophium volutator",6,1
"277","Corophium volutator",8,73
"278","Corophium volutator",9,113
"279","Corophium volutator",10,6
"280","Corophium volutator",11,1
"281","Corophium volutator",16,1
"282","Corophium volutator",21,2
"283","Corophium volutator",23,205
"284","Corophium volutator",30,2
"285","Corophium volutator",31,26
"286","Corophium volutator",38,6
"287","Corophium volutator",39,1
"288","Corophium volutator",45,220
"289","Corophium volutator",49,7
"290","Corophium volutator",57,2
"291","Corophium volutator",61,444
"292","Corophium volutator",66,2
"293","Corophium volutator",69,0
"294","Corophium volutator",70,0
"295","Corophium volutator",74,1
"296","Corophium volutator",75,1
"297","Cossura longe",10,1
"298","Cossura longe",69,0
"299","Cossura longe",70,0
"300","Crangon crangon",3,1
"301","Crangon crangon",32,1
"302","Crangon crangon",33,1
"303","Crangon crangon",59,1
"304","Crangon crangon",63,1
"305","Crangon crangon",65,1
"306","Crangon crangon",69,0
"307","Crangon crangon",70,0
"308","Crepidula fornicata",69,0
"309","Crepidula fornicata",70,0
"310","Cyathura carinata",1,21
"311","Cyathura carinata",2,4
"312","Cyathura carinata",3,16
"313","Cyathura carinata",4,12
"314","Cyathura carinata",5,36
"315","Cyathura carinata",6,6
"316","Cyathura carinata",7,2
"317","Cyathura carinata",9,1
"318","Cyathura carinata",10,28
"319","Cyathura carinata",11,6
"320","Cyathura carinata",16,3
"321","Cyathura carinata",25,1
"322","Cyathura carinata",27,15
"323","Cyathura carinata",28,2
"324","Cyathura carinata",30,3
"325","Cyathura carinata",31,2
"326","Cyathura carinata",35,15
"327","Cyathura carinata",36,3
"328","Cyathura carinata",37,5
"329","Cyathura carinata",38,25
"330","Cyathura carinata",40,1
"331","Cyathura carinata",46,2
"332","Cyathura carinata",69,0
"333","Cyathura carinata",70,0
"334","Cyathura carinata",71,1
"335","Cyathura carinata",73,1
"336","Cyathura carinata",75,44
"337","Desdemona ornata",2,1
"338","Desdemona ornata",4,24
"339","Desdemona ornata",5,5
"340","Desdemona ornata",10,1
"341","Desdemona ornata",14,1
"342","Desdemona ornata",15,1
"343","Desdemona ornata",31,1
"344","Desdemona ornata",51,2
"345","Desdemona ornata",52,1
"346","Desdemona ornata",54,1
"347","Desdemona ornata",69,0
"348","Desdemona ornata",70,0
"349","Desdemona ornata",75,1
"350","Dolichopodidae",69,0
"351","Dolichopodidae",70,0
"352","Dosinia lupinus",33,1
"353","Dosinia lupinus",69,0
"354","Dosinia lupinus",70,0
"355","Dosinia lupinus",71,1
"356","Dosinia lupinus",79,2
"357","Elminius modestus",17,192
"358","Elminius modestus",69,0
"359","Elminius modestus",70,0
"360","Elminius modestus",71,51
"361","Eteone foliosa",32,1
"362","Eteone foliosa",39,1
"363","Eteone foliosa",69,0
"364","Eteone foliosa",70,0
"365","Eteone longa",1,7
"366","Eteone longa",3,2
"367","Eteone longa",4,8
"368","Eteone longa",5,2
"369","Eteone longa",6,3
"370","Eteone longa",7,2
"371","Eteone longa",10,8
"372","Eteone longa",11,2
"373","Eteone longa",15,1
"374","Eteone longa",16,3
"375","Eteone longa",17,1
"376","Eteone longa",20,2
"377","Eteone longa",22,2
"378","Eteone longa",24,1
"379","Eteone longa",31,1
"380","Eteone longa",35,2
"381","Eteone longa",36,1
"382","Eteone longa",38,1
"383","Eteone longa",41,2
"384","Eteone longa",42,1
"385","Eteone longa",44,3
"386","Eteone longa",46,1
"387","Eteone longa",47,3
"388","Eteone longa",49,1
"389","Eteone longa",51,4
"390","Eteone longa",58,4
"391","Eteone longa",59,1
"392","Eteone longa",65,4
"393","Eteone longa",69,0
"394","Eteone longa",70,0
"395","Eteone longa",74,2
"396","Eteone longa",78,2
"397","Eteone longa",79,1
"398","Eumida cf sanguinea",69,0
"399","Eumida cf sanguinea",70,0
"400","Eumida cf sanguinea",71,7
"401","Eumida punctifera",69,0
"402","Eumida punctifera",70,0
"403","Eumida punctifera",71,1
"404","Eusarsiella zostericola",14,1
"405","Eusarsiella zostericola",22,2
"406","Eusarsiella zostericola",26,9
"407","Eusarsiella zostericola",35,3
"408","Eusarsiella zostericola",36,2
"409","Eusarsiella zostericola",41,1
"410","Eusarsiella zostericola",45,4
"411","Eusarsiella zostericola",57,1
"412","Eusarsiella zostericola",69,0
"413","Eusarsiella zostericola",70,0
"414","Gammarus locusta",15,5
"415","Gammarus locusta",53,2
"416","Gammarus locusta",63,1
"417","Gammarus locusta",67,2
"418","Gammarus locusta",69,0
"419","Gammarus locusta",70,0
"420","Gibbula umbilicalis",69,0
"421","Gibbula umbilicalis",70,0
"422","Gibbula umbilicalis",71,2
"423","Glycera tridactyla",33,1
"424","Glycera tridactyla",41,1
"425","Glycera tridactyla",69,0
"426","Glycera tridactyla",70,0
"427","Glycera tridactyla",73,1
"428","Haminoea navicula",26,1
"429","Haminoea navicula",45,1
"430","Haminoea navicula",47,1
"431","Haminoea navicula",50,1
"432","Haminoea navicula",69,0
"433","Haminoea navicula",70,0
"434","Hediste diversicolor",1,46
"435","Hediste diversicolor",2,35
"436","Hediste diversicolor",3,40
"437","Hediste diversicolor",4,41
"438","Hediste diversicolor",5,32
"439","Hediste diversicolor",6,45
"440","Hediste diversicolor",7,31
"441","Hediste diversicolor",8,50
"442","Hediste diversicolor",9,13
"443","Hediste diversicolor",10,56
"444","Hediste diversicolor",11,93
"445","Hediste diversicolor",12,10
"446","Hediste diversicolor",13,58
"447","Hediste diversicolor",14,90
"448","Hediste diversicolor",15,112
"449","Hediste diversicolor",16,27
"450","Hediste diversicolor",17,72
"451","Hediste diversicolor",18,8
"452","Hediste diversicolor",19,17
"453","Hediste diversicolor",20,56
"454","Hediste diversicolor",21,8
"455","Hediste diversicolor",22,4
"456","Hediste diversicolor",23,75
"457","Hediste diversicolor",25,12
"458","Hediste diversicolor",26,1
"459","Hediste diversicolor",27,39
"460","Hediste diversicolor",28,22
"461","Hediste diversicolor",29,1
"462","Hediste diversicolor",30,92
"463","Hediste diversicolor",31,1
"464","Hediste diversicolor",32,3
"465","Hediste diversicolor",35,234
"466","Hediste diversicolor",36,121
"467","Hediste diversicolor",37,61
"468","Hediste diversicolor",38,16
"469","Hediste diversicolor",39,10
"470","Hediste diversicolor",41,34
"471","Hediste diversicolor",44,14
"472","Hediste diversicolor",45,23
"473","Hediste diversicolor",46,20
"474","Hediste diversicolor",47,42
"475","Hediste diversicolor",48,3
"476","Hediste diversicolor",49,1
"477","Hediste diversicolor",50,16
"478","Hediste diversicolor",51,1
"479","Hediste diversicolor",52,6
"480","Hediste diversicolor",53,11
"481","Hediste diversicolor",54,12
"482","Hediste diversicolor",56,2
"483","Hediste diversicolor",57,1
"484","Hediste diversicolor",58,38
"485","Hediste diversicolor",59,3
"486","Hediste diversicolor",60,1
"487","Hediste diversicolor",62,1
"488","Hediste diversicolor",63,3
"489","Hediste diversicolor",64,6
"490","Hediste diversicolor",65,4
"491","Hediste diversicolor",68,1
"492","Hediste diversicolor",69,0
"493","Hediste diversicolor",70,0
"494","Hediste diversicolor",71,8
"495","Hediste diversicolor",73,9
"496","Hediste diversicolor",74,20
"497","Hediste diversicolor",75,87
"498","Hediste diversicolor",76,4
"499","Hediste diversicolor",77,5
"500","Hediste diversicolor",79,12
"501","Hinia reticulata",69,0
"502","Hinia reticulata",70,0
"503","Hinia reticulata",71,2
"504","Hydrobia ulvae",1,8
"505","Hydrobia ulvae",5,30
"506","Hydrobia ulvae",6,9
"507","Hydrobia ulvae",7,1
"508","Hydrobia ulvae",9,1
"509","Hydrobia ulvae",10,11
"510","Hydrobia ulvae",11,2
"511","Hydrobia ulvae",12,1
"512","Hydrobia ulvae",13,40
"513","Hydrobia ulvae",14,123
"514","Hydrobia ulvae",15,17
"515","Hydrobia ulvae",16,1
"516","Hydrobia ulvae",17,6
"517","Hydrobia ulvae",18,4
"518","Hydrobia ulvae",19,1
"519","Hydrobia ulvae",20,3
"520","Hydrobia ulvae",21,1
"521","Hydrobia ulvae",23,38
"522","Hydrobia ulvae",24,15
"523","Hydrobia ulvae",26,51
"524","Hydrobia ulvae",27,30
"525","Hydrobia ulvae",28,18
"526","Hydrobia ulvae",29,7
"527","Hydrobia ulvae",30,47
"528","Hydrobia ulvae",32,7
"529","Hydrobia ulvae",33,2
"530","Hydrobia ulvae",34,67
"531","Hydrobia ulvae",35,5
"532","Hydrobia ulvae",38,3
"533","Hydrobia ulvae",40,3
"534","Hydrobia ulvae",42,4
"535","Hydrobia ulvae",43,51
"536","Hydrobia ulvae",45,61
"537","Hydrobia ulvae",46,23
"538","Hydrobia ulvae",49,8
"539","Hydrobia ulvae",50,3
"540","Hydrobia ulvae",51,79
"541","Hydrobia ulvae",52,9
"542","Hydrobia ulvae",53,1
"543","Hydrobia ulvae",54,1
"544","Hydrobia ulvae",55,8
"545","Hydrobia ulvae",56,5
"546","Hydrobia ulvae",57,1
"547","Hydrobia ulvae",58,45
"548","Hydrobia ulvae",59,5
"549","Hydrobia ulvae",61,2
"550","Hydrobia ulvae",65,8
"551","Hydrobia ulvae",66,641
"552","Hydrobia ulvae",69,0
"553","Hydrobia ulvae",70,0
"554","Hydrobia ulvae",74,2
"555","Hydrobia ulvae",75,12
"556","Hydrobia ulvae",77,1
"557","Hydrobia ventrosa",69,0
"558","Hydrobia ventrosa",70,0
"559","Idotea balthica",42,1
"560","Idotea balthica",69,0
"561","Idotea balthica",70,0
"562","Idotea chelipes",30,1
"563","Idotea chelipes",40,1
"564","Idotea chelipes",42,20
"565","Idotea chelipes",69,0
"566","Idotea chelipes",70,0
"567","Insecta indet",36,1
"568","Insecta indet",69,0
"569","Insecta indet",70,0
"570","Insecta larvae",23,1
"571","Insecta larvae",30,15
"572","Insecta larvae",50,1
"573","Insecta larvae",69,0
"574","Insecta larvae",70,0
"575","Janua pagenstecheri",69,0
"576","Janua pagenstecheri",70,0
"577","Janua pagenstecheri",71,21
"578","Leptochitona cinereus",69,0
"579","Leptochitona cinereus",70,0
"580","Leptochitona cinereus",71,1
"581","Liocarcinus arcuatus",17,1
"582","Liocarcinus arcuatus",22,1
"583","Liocarcinus arcuatus",39,1
"584","Liocarcinus arcuatus",66,1
"585","Liocarcinus arcuatus",69,0
"586","Liocarcinus arcuatus",70,0
"587","Littorina littorea",17,1
"588","Littorina littorea",69,0
"589","Littorina littorea",70,0
"590","Littorina littorea",71,3
"591","Littorina saxatilis agg.",66,2
"592","Littorina saxatilis agg.",69,0
"593","Littorina saxatilis agg.",70,0
"594","Macoma balthica",5,1
"595","Macoma balthica",6,1
"596","Macoma balthica",11,2
"597","Macoma balthica",13,1
"598","Macoma balthica",14,1
"599","Macoma balthica",15,1
"600","Macoma balthica",17,1
"601","Macoma balthica",18,1
"602","Macoma balthica",19,2
"603","Macoma balthica",24,2
"604","Macoma balthica",28,1
"605","Macoma balthica",29,1
"606","Macoma balthica",31,1
"607","Macoma balthica",32,1
"608","Macoma balthica",35,2
"609","Macoma balthica",36,1
"610","Macoma balthica",39,1
"611","Macoma balthica",44,2
"612","Macoma balthica",56,1
"613","Macoma balthica",58,1
"614","Macoma balthica",66,1
"615","Macoma balthica",69,0
"616","Macoma balthica",70,0
"617","Macoma balthica",77,1
"618","Malacoceros tetraceros",69,0
"619","Malacoceros tetraceros",70,0
"620","Malacoceros tetraceros",75,1
"621","Malacoceros tetraceros",80,1
"622","Mediomastus fragilis",41,1
"623","Mediomastus fragilis",69,0
"624","Mediomastus fragilis",70,0
"625","Melinna palmata",1,1
"626","Melinna palmata",25,2
"627","Melinna palmata",37,3
"628","Melinna palmata",38,1
"629","Melinna palmata",39,9
"630","Melinna palmata",40,3
"631","Melinna palmata",41,6
"632","Melinna palmata",57,1
"633","Melinna palmata",59,1
"634","Melinna palmata",60,1
"635","Melinna palmata",68,2
"636","Melinna palmata",69,2
"637","Melinna palmata",70,0
"638","Melinna palmata",72,2
"639","Melita palmata",14,1
"640","Melita palmata",15,20
"641","Melita palmata",17,4
"642","Melita palmata",42,1
"643","Melita palmata",50,1
"644","Melita palmata",52,3
"645","Melita palmata",67,1
"646","Melita palmata",69,0
"647","Melita palmata",70,1
"648","Melita palmata",71,33
"649","Melita palmata",75,1
"650","Microdeutopus grllotalpus",66,150
"651","Microdeutopus grllotalpus",69,0
"652","Microdeutopus grllotalpus",70,0
"653","Microphthalmus cf similis",69,0
"654","Microphthalmus cf similis",70,0
"655","Microprotopus maculeatus",8,1
"656","Microprotopus maculeatus",39,5
"657","Microprotopus maculeatus",41,2
"658","Microprotopus maculeatus",42,3
"659","Microprotopus maculeatus",46,2
"660","Microprotopus maculeatus",48,3
"661","Microprotopus maculeatus",50,4
"662","Microprotopus maculeatus",51,15
"663","Microprotopus maculeatus",52,9
"664","Microprotopus maculeatus",56,1
"665","Microprotopus maculeatus",69,0
"666","Microprotopus maculeatus",70,0
"667","Mya arenaria",6,6
"668","Mya arenaria",7,7
"669","Mya arenaria",10,3
"670","Mya arenaria",11,4
"671","Mya arenaria",12,4
"672","Mya arenaria",14,1
"673","Mya arenaria",18,2
"674","Mya arenaria",19,1
"675","Mya arenaria",24,3
"676","Mya arenaria",25,5
"677","Mya arenaria",26,2
"678","Mya arenaria",28,3
"679","Mya arenaria",30,2
"680","Mya arenaria",32,1
"681","Mya arenaria",35,2
"682","Mya arenaria",36,2
"683","Mya arenaria",38,2
"684","Mya arenaria",39,2
"685","Mya arenaria",41,3
"686","Mya arenaria",42,3
"687","Mya arenaria",44,1
"688","Mya arenaria",47,16
"689","Mya arenaria",50,1
"690","Mya arenaria",52,2
"691","Mya arenaria",65,4
"692","Mya arenaria",66,4
"693","Mya arenaria",69,0
"694","Mya arenaria",70,0
"695","Mya arenaria",71,1
"696","Mya arenaria",75,3
"697","Mytilus edulis",17,2
"698","Mytilus edulis",69,0
"699","Mytilus edulis",70,0
"700","Neanthes virens",12,1
"701","Neanthes virens",17,1
"702","Neanthes virens",19,1
"703","Neanthes virens",21,1
"704","Neanthes virens",22,5
"705","Neanthes virens",39,1
"706","Neanthes virens",41,1
"707","Neanthes virens",44,5
"708","Neanthes virens",46,1
"709","Neanthes virens",52,1
"710","Neanthes virens",54,7
"711","Neanthes virens",69,0
"712","Neanthes virens",70,0
"713","Neanthes virens",73,1
"714","Nematostella vectensis",69,0
"715","Nematostella vectensis",70,0
"716","Nemertina",19,1
"717","Nemertina",21,1
"718","Nemertina",25,1
"719","Nemertina",31,9
"720","Nemertina",42,4
"721","Nemertina",43,1
"722","Nemertina",45,1
"723","Nemertina",66,2
"724","Nemertina",69,0
"725","Nemertina",70,0
"726","Nemertina",74,1
"727","Neoamphitrite figulus",22,1
"728","Neoamphitrite figulus",69,0
"729","Neoamphitrite figulus",70,0
"730","Nephtys hombergii",2,11
"731","Nephtys hombergii",6,1
"732","Nephtys hombergii",7,1
"733","Nephtys hombergii",12,1
"734","Nephtys hombergii",17,1
"735","Nephtys hombergii",18,3
"736","Nephtys hombergii",19,3
"737","Nephtys hombergii",22,6
"738","Nephtys hombergii",24,6
"739","Nephtys hombergii",26,2
"740","Nephtys hombergii",28,3
"741","Nephtys hombergii",29,3
"742","Nephtys hombergii",32,3
"743","Nephtys hombergii",33,6
"744","Nephtys hombergii",36,3
"745","Nephtys hombergii",39,6
"746","Nephtys hombergii",40,1
"747","Nephtys hombergii",41,2
"748","Nephtys hombergii",44,4
"749","Nephtys hombergii",47,12
"750","Nephtys hombergii",48,10
"751","Nephtys hombergii",50,13
"752","Nephtys hombergii",52,5
"753","Nephtys hombergii",53,5
"754","Nephtys hombergii",54,18
"755","Nephtys hombergii",55,3
"756","Nephtys hombergii",56,8
"757","Nephtys hombergii",57,2
"758","Nephtys hombergii",58,1
"759","Nephtys hombergii",59,5
"760","Nephtys hombergii",60,22
"761","Nephtys hombergii",62,2
"762","Nephtys hombergii",64,12
"763","Nephtys hombergii",67,11
"764","Nephtys hombergii",68,26
"765","Nephtys hombergii",69,4
"766","Nephtys hombergii",70,2
"767","Nephtys hombergii",72,1
"768","Nephtys hombergii",74,1
"769","Nephtys hombergii",76,1
"770","Nephtys hombergii",77,1
"771","Nephtys hombergii",78,1
"772","Nephtys kersivalensis",18,1
"773","Nephtys kersivalensis",40,1
"774","Nephtys kersivalensis",41,2
"775","Nephtys kersivalensis",48,1
"776","Nephtys kersivalensis",53,2
"777","Nephtys kersivalensis",64,3
"778","Nephtys kersivalensis",67,4
"779","Nephtys kersivalensis",69,4
"780","Nephtys kersivalensis",70,1
"781","Nephtys kersivalensis",72,3
"782","Nephtys kersivalensis",77,2
"783","Nephtys kersivalensis",78,1
"784","Notomastus latericeus",69,0
"785","Notomastus latericeus",70,0
"786","Notomastus latericeus",71,5
"787","Notomastus latericeus",72,4
"788","Notomastus latericeus",73,9
"789","Notomastus latericeus",78,2
"790","Notomastus latericeus",79,11
"791","Ostracoda sp.",1,4
"792","Ostracoda sp.",2,1
"793","Ostracoda sp.",3,10
"794","Ostracoda sp.",5,15
"795","Ostracoda sp.",6,18
"796","Ostracoda sp.",8,1
"797","Ostracoda sp.",11,3
"798","Ostracoda sp.",14,2
"799","Ostracoda sp.",15,1
"800","Ostracoda sp.",16,1
"801","Ostracoda sp.",22,1
"802","Ostracoda sp.",23,227
"803","Ostracoda sp.",26,10
"804","Ostracoda sp.",27,15
"805","Ostracoda sp.",29,1
"806","Ostracoda sp.",30,29
"807","Ostracoda sp.",31,1
"808","Ostracoda sp.",32,1
"809","Ostracoda sp.",34,3
"810","Ostracoda sp.",35,11
"811","Ostracoda sp.",39,2
"812","Ostracoda sp.",43,1
"813","Ostracoda sp.",45,17
"814","Ostracoda sp.",47,1
"815","Ostracoda sp.",56,1
"816","Ostracoda sp.",57,1
"817","Ostracoda sp.",69,0
"818","Ostracoda sp.",70,0
"819","Other (incl algae)",69,0
"820","Other (incl algae)",70,0
"821","Palaemonetes varians",69,0
"822","Palaemonetes varians",70,0
"823","Parapionosyllis minuta",69,0
"824","Parapionosyllis minuta",70,0
"825","Parapionosyllis minuta",73,1
"826","Parvicardium exiguum",42,1
"827","Parvicardium exiguum",69,0
"828","Parvicardium exiguum",70,0
"829","Phtisica marina",69,0
"830","Phtisica marina",70,0
"831","Phtisica marina",71,1
"832","Polycirrus sp",43,3
"833","Polycirrus sp",46,3
"834","Polycirrus sp",69,0
"835","Polycirrus sp",70,0
"836","Polydora cornuta",1,1
"837","Polydora cornuta",4,1
